ngram,polarity
1000,1
استطاع,1
اضاف,1
افضل,1
الاشادة,1
الجذاب,1
الخرافي,1
الرائع,1
الطبيعية,1
العبقري,1
المبدع,1
النجاح,1
بحبه,1
براعة,1
برافو,1
بسيطة,1
بعشق,1
تفوقت,1
جاامد,1
جديدة,1
جميل,1
جميلة,1
جيد,1
حلو,1
رائع,1
شغال,1
عشااق,1
كويس,1
متميزة,1
مثير,1
محترم,1
ممتع,1
ممتعه,1
مميز,1
موفق,1
ناجح,1
نجح,1
هذا الفيلم,1
ومؤثرة,1
ومشوق ,1
ونجح,1
وهمى,1
ويستحق,1
يستحق,1
يستحق المشاهدة,1
1/10,-1
2/10,-1
3/10,-1
5/10,-1
اسوء,-1
سوء,-1
افلام المقاولات,-1
الابتذال,-1
التطويل,-1
الجنس,-1
الحسنة الوحيدة ,-1
الضعيف,-1
المبالغات,-1
الملل,-1
الهابطة,-1
اي جديد,-1
اي كلام,-1
تضيع,-1
جنسية,-1
خيبة,-1
ركيك,-1
سئ,-1
ساذجة,-1
سف,-1
سوء,-1
سيء,-1
صفر,-1
صفر كبير,-1
ضعيف,-1
فاشل,-1
فسد,-1
فشل,-1
كبوة,-1
لا يستحق,-1
لا يليق به,-1
للاسف,-1
لم يقدم,-1
محاولة فاشلة,-1
مستفز,-1
معيبا,-1
ولا حاجه,-1
