ngram,polarity
3 نجوم,-1
أسوء,-1
أعود,1
ابتعد,-1
اجازة,1
اجمل,1
احسن,1
احلى,1
احن شي,1
اروع,1
استمتعت,1
استمتعنا,1
اسف,-1
اسوء,-1
اسوء,-1
اسواء,-1
اشكر,1
اضافة,1
اعود,1
افضل,1
اقل,-1
الافضل,1
الاكل,-1
الاولى,1
التقييم,-1
الجميع,1
الجميل,1
الجميلة,1
الحشرات,-1
الرائحة,-1
الرائع,1
الرائعة,1
الراحة,1
الروعه,1
السوء,-1
السيئة,-1
الشاطئ,1
الشكر,1
الصراصير,-1
الصيانة,-1
الفندق وعجبني,1
المطعم المكشوف,1
المغادرة,-1
المفضل,1
الممتازة,1
المياه ضعيفه,-1
الهدوء,1
بالشكر,1
بالكاد,-1
باهظ,-1
بشع,-1
بطني,-1
بعدم,-1
بعيد,-1
تاخر,-1
تجنب,-1
تجنبه,-1
تحفة,1
تحفه,1
تفتقر,-1
توجد خدمه,1
جمل,1
جميل,1
جميل جدا,1
جميلة,1
جميله,1
جيد,1
جيد جدا,1
جيدا,1
جيدة,1
حببت,1
حسن,1
حشرات,-1
حلو,1
خساره,-1
خيبة,-1
رائحة,-1
رائع,1
رائعا,1
رائعة,1
رائعه,1
رائعين,1
راقي,1
رديء,-1
رديئة,-1
رهيب,-1
روع,1
روعه,1
سئ,-1
ساحر,1
سخيف,-1
سرعة,1
سرقة,-1
سرقه,-1
سريعة,1
سعر مرتفع,-1
سنعود,1
سوء,-1
سىء,-1
سيء,-1
سيئ,-1
سيئ جدا,-1
سيئا,-1
سيئة,-1
سيئه,-1
شكر,1
شكرا,1
صغير جدا,-1
صغيره جدا,-1
صفر,-1
ضعيف,-1
ضيق,-1
ضيقة,-1
طوال الليل,-1
عادي,-1
عالية,1
عجبني,1
عظيم,1
غالي,-1
غير نظيفة,-1
فخم,1
فضل,1
فظيع,-1
فظيعة,-1
فعلا,1
فوق المتوسط,1
قديم,-1
قديمة,-1
قذر,-1
قذرة,-1
قريب,1
قريب جدا,1
قيمة,1
كارثة,-1
كبيرة,1
كثيرة بالفندق,1
كريهة,-1
لا أنصح,-1
لا أوصي,-1
لا انصح,-1
لا تقم,-1
لا يستحق,-1
لا يعمل,-1
لاتوجد,-1
لذيذ,1
لطيف,1
لطيفة,1
للاسف,-1
للاشمئزاز,-1
للامال,-1
لم يتم,-1
لن أعود,-1
لن عود,-1
ليس سيئ,1
متسخ,-1
متسخة,-1
متميز,1
متميزة,1
متهالك,-1
متوسط,-1
مثالي,1
مجاني,1
مجانية,1
مختلفة,1
مخيب,-1
مذهل,1
مذهلة,1
مرض,-1
مروع,-1
مروعة,-1
مريح,1
مريحة,1
معقول,1
معقولة,1
مقزز,-1
مكب,-1
ملائم,1
ممتاز,1
ممتاز .,1
ممتازة,1
ممتازه,1
ممتعة,1
ممل,-1
مميز,1
مناسب,1
منتجع,1
منظر,1
نجمة واحده,-1
نجمتان,-1
نجمتين,-1
نظافة,1
نظيف,1
نظيفة,1
ننتظر,-1
هادئ,1
هادئة,1
واسع,1
واسعة,1
ودود,1
ودودون,1
ودودين,1
وعجبني الفطور,1
وقح,-1
وقريب,1
ولا يوجد,-1
ولا يوجد,-1
ومريح,1
ومريحة,1
ومناسب,1
ونظيف,1
ونظيفة,1
ويوجد,1
يتمتع,1
يحتاج,-1
يستحق,1
يمتاز,1
ينقصه,-1
