ngram,polarity
100 100,1
1000,1
:),1
◠‿◠,1
❤,1
😊,1
10 من 10,1
10/10,1
7/10,1
8 من 10,1
8.5/10,1
8/10,1
8من10,1
9 من 10,1
9.5 من 10,1
9/10,1
best,1
like,1
love,1
yummy,1
أحبه,1
أحسن,1
أحلى,1
أروع,1
أزين,1
أفضل,1
ألذ,1
أنصح,1
إدمان,1
ابدااع,1
ابداع,1
ابشركم,1
اتقان,1
اجمل,1
احب,1
احبه,1
احبهم,1
احسن,1
احسن مطعم,1
احلا,1
احلى,1
احلي,1
ادمان,1
ادمماان,1
ادمنت,1
ادمنته,1
اروع,1
استمتعت,1
اسرع,1
اسعار جوده,1
اشتهيت,1
اطعم,1
اطيب,1
اعجبتني,1
اعجبني,1
اعشق,1
اعشقه,1
اعععشق,1
افضل,1
افضل مطعم,1
افضله,1
افضله على,1
افظل,1
اكله,1
الأفضل,1
الاسعار,1
الاسعار رخيصه,1
الافضل,1
الاكل,1
الاكل ممتاز,1
الاكل يهبل,1
الاهتمام,1
التنوع,1
الجديده تعجبني,1
الجيد,1
الحب,1
الحلوه,1
الذ,1
الرائع,1
الرائعة,1
الرائعه,1
الروعة,1
الروعه,1
الطازجة,1
الف,1
اللذيذ,1
اللذيذه,1
المدح,1
المشكله,1
المطعم كويس,1
المفضل,1
المفضلة,1
الممتاز,1
المميزة,1
المميزه,1
امدح,1
انبسط,1
انبسطت,1
انصح,1
انصحكم,1
انظف,1
انيق,1
ايجابي,1
بالروعة,1
بالروعه,1
بدون,1
برجر,1
بيشبع,1
تبارك,1
تتميز,1
تجنن,1
تحب,1
تحياتي,1
ترتقي,1
تستحق,1
تشكيلاتهم الجديده,1
تعجبني,1
تكفي,1
تمام,1
تنويع,1
توب,1
جامد,1
جبار,1
جديدة,1
جرب,1
جربوا,1
جربوه,1
جمال,1
جممميل,1
جميل,1
جميلة,1
جميله,1
جناان,1
جنان,1
جودة,1
جيد,1
جيد جدا,1
جيد في,1
جيد والسعر,1
جيدة,1
جيده,1
جيده جدا,1
حبيت,1
حسن,1
حكاية,1
حلو,1
حلوة,1
حلوه,1
حلوو,1
حمصهم خرااافي,1
خرااافي,1
خراافي,1
خرافي,1
خصوصيه,1
خطير,1
خطيره,1
خطيير,1
خفيف,1
خفيفة,1
خفيفه,1
خمس,1
خورافيه,1
خيال,1
خيال ودك,1
خيالي,1
دايم,1
ذوق,1
رائع,1
رائعا,1
رائعة,1
رائعه,1
راائع,1
رااائع,1
راايق,1
راقي,1
راقيه,1
رايق,1
رايقة,1
رايقه,1
رخيص,1
رخيصه جدا,1
رهيب,1
رهيببه,1
رهيبة,1
رهيبه,1
رهييب,1
رهييبه,1
روعة,1
روعه,1
رومانسي,1
رووعه,1
روووعه,1
زين,1
زين مره,1
سريع,1
سريعة,1
سريعه,1
سعدت,1
سعيد,1
شكرا,1
شهي,1
شهيتني,1
شيك,1
صحي,1
صحيه,1
طازج,1
طعم,1
طيب,1
طيبه,1
عاجبني,1
عالية,1
عجبني,1
عجييب,1
عشاق,1
عشره,1
عشقي,1
على,1
عنب,1
عيبه,1
عيبهم,1
غني,1
فاخر,1
فاخره,1
فخم,1
فروع,1
فريد,1
فريدا,1
في,1
في الخيال,1
فيه زين,1
قريب,1
قوي,1
قيم,1
كان توب,1
كويس,1
كويسة,1
كويسه,1
لا يعلى,1
لا يفوتك,1
لا يفوتكم,1
لابأس,1
لازم,1
لايفوتكم,1
لايقاوم,1
لذه,1
لذيد,1
لذيذ,1
لذيذ جدا,1
لذيذا,1
لذيذة,1
لذيذه,1
لذييذ,1
لززييزز,1
لزيز,1
لعشاق,1
ماشاء الله,1
متخصص,1
متقن,1
متكامل,1
متميز,1
متميزه,1
متنوع,1
متنوعه,1
متوفر,1
مجانا,1
مجانيه,1
محبوب,1
محبي,1
محترم,1
مدح,1
مدربين,1
مرتب,1
مريح,1
مريحه,1
مشهور,1
مضبوط,1
مطعم حلو,1
مطعم مميز,1
مطعم يستحق,1
مطعمي,1
معطره,1
معقول,1
معقولة,1
معقوله,1
مغريه,1
ملفت,1
ممتاز,1
ممتازة,1
ممتازه,1
ممتازين,1
ممتع,1
مميز,1
مميزات,1
مميزة,1
مميزه,1
مناسب,1
مناسبه,1
منفرد,1
منوعه,1
مهذبه,1
ميزة,1
ميه,1
نايس,1
نظيف,1
هادئ,1
هادي,1
وأفضل,1
وااو,1
واحلى,1
واسعه,1
واعجبتني,1
وافضل,1
وافي,1
والأسعار,1
واو,1
واوو,1
وحسن,1
وحلو,1
وخفيف,1
ورائع,1
ورهيب,1
وسريعه,1
وصحي,1
وطازج,1
وعجبني,1
وفخم,1
وفير,1
وفيره,1
ولا اروع,1
ولذيذ,1
ولذيذه,1
ولذييذ,1
ومرتب,1
