ngram,polarity
:(,-1
:),1
❤,1
😊,1
◠‿◠,1
1000,1
100 100,1
100/100,1
10/10,1
10/1,-1
10/2,-1
10 من 10,1
1/10,-1
1-عمليه,1
1 من 10 ,-1
1 من 5,-1
2/10,-1
2 من 10 ,-1
2 من 5,-1
3/10,-1
3 من 10,-1
3 من 5,-1
3 نجوم,-1
4/10,-1
4 من 10,-1
4 نجوم,1
5/10,-1
5 نجوم,1
700ريال,-1
7/10,1
8/10,1
8.5/10,1
8 من 10,1
8من10,1
9/10,1
9.5 من 10,1
9 من 10,1
amazing,1
amazing product,1
bad,-1
bad packaging,-1
beautiful,1
best,1
cool,1
excaent,1
excellent,1
fantastic,1
good,1
i like,1
like,1
love,1
nice,1
not bad,1
perfect,1
recommended,1
recommend it,1
satisfied,1
sweet,1
thank,1
thanks,1
very bad,-1
very sweet,1
vgood,1
woow,1
xcelent,1
xcellent,1
yes,1
yummy,1
ااشكراا,1
ابتعد,-1
ابدااع,1
ابداع,1
ابداع بلا,1
ابدع,1
ابشركم,1
ابهرتنى,1
اتخميت,-1
اتقان,1
اتقطع,-1
أثرت,1
اجازة,1
اجتماعية وتربوية,1
أجمل,1
اجمل,1
اجمل ماقراءت,1
احب,1
أحببت,1
احببت,1
احببته,1
احببتها,1
احبتتها,1
أحبه,1
احبه,1
احبهم,1
احتيال,-1
أحسن,1
احسن,1
احسن مطعم,1
احلا,1
أحلى,1
احلي,1
احلى,1
احن شي,1
احي الكاتبة,1
اخر مره,-1
اخس,-1
إدمان,1
ادمان,1
ادمماان,1
ادمنت,1
ادمنته,1
ارجاعها,-1
ارجع,-1
ارجو,-1
ارحمونا,-1
ارهقتني,-1
أروع,1
اروع,1
اروع ما,1
ازعاج,-1
أزين,1
استخدامه لفتره طويله,1
استطاع,1
استظراف,-1
استغرب,-1
استفدت,1
استفرغ,-1
استفزازية,-1
استفزتني,-1
استفزني,-1
استمتعت,1
استمتعتش,-1
استمتعنا,1
استهبال,-1
اسخف,-1
اسرع,1
أسطوورة,1
اسعار جوده,1
أسف,-1
اسف,-1
أسوء,-1
اسوء,-1
اسوء كتاب,-1
اسوء ما,-1
أسوأ,-1
أسوا,-1
اسوأ,-1
اسوا,-1
أسواء,-1
اسواء,-1
اشتكيت,-1
اشتهيت,1
اشكر,1
اشمئزازي,-1
اشمئزازي كثر,-1
اشهى,1
اشهى مما,1
أصابني بالعطش,-1
اصغر من,-1
اصلي,1
اضاف,1
اضافة,1
اضطررت,-1
اضعته,-1
اضعته في,-1
اضعف,-1
اطعم,1
اطلاقا,-1
اطيب,1
اعجابي,1
اعجبتني,1
اعجبتني الرواية,1
اعجبني,1
اعجبنى,1
اعجبني طريقه,1
اعشق,1
اعشقه,1
اعطيه 3من5,-1
اعععشق,1
أعود,1
اعود,1
اغبى,-1
افراغ الهواء,1
افشل,-1
أفضل,1
افضل,1
افضل مطعم,1
افضله,1
افضله على,1
افظل,1
اففف,-1
افكاره غريبة,-1
أفكاره كبيره,1
افلام المقاولات,-1
اقحام,-1
