ngram,polarity
", الكاتب",-1
", حضنته",1
", قلشت",-1
", ممل",-1
", وفارغة",-1
. رائع,1
. رواية,1
. ظريف,1
. ممل,-1
. ميستح,-1
. ولاهدف,-1
( معجبتنيش,-1
4 نجوم,1
5 نجوم,1
أثرت,1
أجمل,1
أجمل,1
أحببت,1
أسطوورة,1
أسف,-1
أصابني بالعطش,-1
أفكاره كبيره,1
أكيد هرجعلها,1
أنها أفضل,1
ابدااع,1
ابداع,1
ابداع بلا,1
ابدع,1
ابدع,1
ابهرتنى,1
اجتماعية وتربوية,1
اجمل,1
اجمل ماقراءت,1
احببت,1
احببته,1
احببتها,1
احبتتها,1
احلي,1
احي الكاتبة,1
ادمان,1
ارحمونا,-1
ارهقتني,-1
اروع,1
اروع ما,1
استطاع,1
استظراف,-1
استغرب,-1
استفدت,1
استفزازية,-1
استفزتني,-1
استفزني,-1
استمتعت,1
استمتعتش,-1
اسخف,-1
اسف,-1
اسوء,-1
اسوء,-1
اسوء كتاب,-1
اسوء ما,-1
اسوا,-1
اشمئزازي,-1
اشمئزازي كثر,-1
اشهى,1
اشهى مما,1
اضطررت,-1
اضعته,-1
اضعته في,-1
اضعف,-1
اطلاقا,-1
اعجابي,1
اعجبتني,1
اعجبتني الرواية,1
اعجبنى,1
اعجبني,1
اعجبني طريقه,1
اعشق,1
افضل,1
افكاره غريبة,-1
اقحام,-1
اقوى,1
اقوى من,1
اكثر اثارة,1
اكثر من اللزوم,-1
الاباحية,-1
الابداع,1
الاخطاء التاريخية,-1
الاروع على,1
الاستمتاع,1
التفاهه,-1
التكرار,-1
التكرار تتجلى,-1
التمادي,-1
التمجيد والمبالغة,-1
التمطيط واخيرا,-1
الجمال,1
الجنس,-1
الجنسية,-1
الحال,1
الحشو,-1
الخااصه رائع,1
الخيال,1
الدهشة,1
الذي اضعته,-1
الرائع,1
الرائعة,1
الركاكة,-1
الرواية الاجمل,1
الرواية الامثل,1
الرواية بكتني,1
الرواية رائعة,1
الروايه جميله,1
الروعه,1
السخيفة,-1
السطحية,-1
السوء,-1
السيئة,-1
السياسية المختلطة,-1
الشوق,1
الصداع,-1
الضايع .,-1
الضجة,-1
الضجه,-1
الطواويس بتطير,-1
العبث,-1
العبقرية,1
الغلطات المنطقية,-1
الفارغون,-1
الفاظ,-1
الفكرة لاتموت,1
الفكره جميله,1
الفلسفة,1
القراءة بجدارة,1
القرف,-1
الكابة,-1
الكتاب اضاف,1
الكتاب جميل,1
الكتاب حالة,1
الكتاب حلو,1
الكتاب دةرااائع,1
الكتاب رائع,1
الكتاب ظريفة,1
الكراهية !,-1
الكون,1
الله عليه,1
المؤلف مستظرف,-1
المتعة,1
المتعفن .,-1
المتواضع,-1
المثالية,-1
المختلطة بخرافات,-1
المر,-1
المراهقين,-1
المفضلة,1
المكررة,-1
الملل,-1
الممتنع,1
الممل,-1
النجمة الخامسة,1
النجمتان,-1
النجمتين,-1
الهراء,-1
الوردي,-1
الوزن الخفيف,1
الوعظية بالطريقة,-1
الوقت الضايع,-1
امتع,1
امري لله,-1
انا غلطان,-1
انا ماحب,-1
انصح,1
انصح به,1
انقصت,1
اوحش كتاب,-1
اوفر,-1
اوووي وتعبلي,-1
اي حاجة,-1
اي شيء جديد,-1
اي كلام,-1
بائسة,-1
باائس,-1
باائس بشكل,-1
بالغ الكثير,-1
بالغلط و,-1
بالملل,-1
بايخ,-1
بتوجع,1
بحب,1
بخرافات البروفسور,-1
بخيبة,-1
بداية موفقة,1
بدقة,1
بدون محتوى,-1
بديع,1
بديعه !,1
بساطة,1
بسيط و,1
بسيطه ومفيده,1
بشع,-1
بشعة,-1
بشعة هي,-1
بضين,-1
بضين,-1
بطيخ,-1
بعثرتني,-1
بعضها لذيذه,1
بكاني,1
بكتني .,1
بلا معنى,-1
بمراحل,-1
بملل,-1
بنجمتين,-1
بهجة,1
بوظت,-1
بيبي .,-1
بييض,-1
تافه,-1
تافهة,-1
تافهه,-1
تتوصفش,1
تتوصفش !,1
تجنن,1
تحفة,1
تحففة,1
تحففه,1
تحفه,1
تركه,1
تستحق,1
تستحق,1
تشاؤم ما,-1
تشويقا,1
تصالح,1
تضحك,1
تضيع,-1
تضييع,-1
تعبانة,-1
تعجبني النهاية,1
تفاهة,-1
تفتح النفس,1
تفتقر,-1
تقتنع,1
تقل,1
تقليدي,-1
تقيلة,-1
تكرار,-1
تكن قطع,-1
تهت,-1
توحفه,1
توصف بكلمات,1
توقعتها,-1
ثقالة,-1
ثقالة دم,-1
جاحدة,1
جامدة,1
جبارة,1
جد نافع,1
جدير,1
جديرة,1
